,diferencia_cambio_activos_pasivos,inversiones_asociadas_negocios,prueba_acida,margen_utilidad_neta,activos_por_derechos,rotacion_ctas_x_cobrar,rotacion_proveedores,patrimonio_atributable_controladoras,gastos_produccion,ingresos_financieros,razon_corriente,margen_utilidad_operacional,tasa_desempleo,costo_deuda_financiera,dividendos,gastos_venta,pasivo_por_impuesto_diferido,provisiones_no_corriente,propiedades_inversion,utilidad_periodo,impuestos_por_pagar_corriente,tasa_interes,pasivo_beneficios_empleados_corriente,roi,cobertura_deuda,pasivos_por_derecho_corriente,ciclo_caja,pasivo_beneficios_empleados_no_corriente,kwn,nivel_endeudamiento_corto_plazo,proveedores_cuentas_pagar_corriente,margen_utilidad_antes_impuestos,inflacion,participaciones_no_controladoras,ciclo_operacion,cobertura_intereses,participacion_asociadas_negocios,gastos_financieros,activo_por_impuesto_diferido,otros_activos_intangibles,otros_activos_corrientes,utilidad_antes_impuestos,proveedores_cuentas_pagar_no_corriente,utilidad_periodo_operaciones_continuadas,gastos_administracion,plusvalia,rentabilidad_operativa,utilidad_operativa,provisiones_corriente,costo_pasivo_total,impuesto_renta_diferido,rotacion_activos,deudores_comerciales,nivel_apalancamiento,operaciones_discontinuadas,propiedades_planta_equipo,nivel_endeudamiento_largo_plazo,pib,obligaciones_financieras_no_corriente,pasivos_por_derecho_no_corriente,rentabilidad_patrimonio,reservas_utilidades_acumuladas,margen_utilidad_bruta,otros_ingresos_netos,rotacion_inventarios,otro_resultado_integral,costos_venta,nivel_endeudamiento,impuesto_renta_corriente,deudores_comerciales_no_corriente,inventarios,obligaciones_financieras_corrientes,efectivo_equivalentes,costo_patrimonio,diferencia_cambio_activos_pasivos_no_operativos,utilidad_bruta,utilidad_neta_periodo,otros_activos_no_corrientes,activos_no_corrientes_venta
0,0.0,2483662.0,0.0,-0.34100996074910306,-88847.97482279193,320.25,451.11315595966227,0.0,0.0,7672.320149360172,0.0,0.0,-1.0,0.7957076488722798,-3221.796604623153,0.0,0.0,72.15792395452416,189.37288135593218,-308332.7481628081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,0.0,0.0,0.0,0.0,-563568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7957076488722798,0.0,0.0,0.0,0.0,73607.0,289.98304339688997,170389.76838366708,0.0,170389.83352951062,0.0,0.0,0.0,0.0,0.0,-22.956170212765958,0.0,0.0,0.0,0.0,0.0,0.059999999997671694,0.0,0.059999999997671694,-3222.362028359262,0.0,0.0,-142447.17466893885,4227131.0,8869.33
1,0.0,1583814.5240607841,0.0,-0.10259753995594036,-19748.852936573618,-5.684341886080802e-14,160.07471901925683,0.0,0.0,7672.320149360172,0.0,0.0,-0.9000000000000004,0.26560004334638343,-3221.796604623153,0.0,0.0,72.15792395452416,189.37288135593218,-67827.85252338291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,-1.1641532182693481e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26560004334638343,0.0,0.0,0.0,0.0,0.0,289.98304339688997,46413.06385561882,0.0,46413.076666916895,0.0,0.0,0.0,0.0,0.0,0.4138297872340395,0.0,0.0,0.0,0.0,0.0,1.2038193631013986e-13,0.0,3.515509454434828e-16,-3222.362028359262,0.0,0.0,-25095.56250645616,221409.23209656775,2966.5167957146514
2,435885.0,1823129.7929294808,110769.12,-0.1029488551603167,-19748.852936573618,0.0,193.3744035008843,217542.0,-1394579.0,143260.32014936017,233.0,0.0,-0.5,0.3183559866276233,31689.203395376848,-185150.0,-187.32999999999993,5487.8279239545245,-2932.297118644066,-74169.5509365886,-2953.66,0.0,-178.33999999999992,-0.06,1.36,-387.33000000000175,0.0,5728.0,79536.70000000001,-4327.330000000016,-2003.0,0.0,0.06999999999999994,-1769158.0,0.0,485712.0,-12812.0,0.0,26871.660000000003,1602.6600000000035,-50423.67,119435.0,6566.0,155174.0,-185150.0,0.0,0.0,485712.0,-927.3299999999999,0.3183559866276233,23031.0,-11.67,996.6600000000035,-1.650000000000034,0.0,-2255.01695660311,46413.06385561882,0.0,46413.076666916895,-9805.0,106375.04999999999,-73169.0,0.0,70995.0,0.41382978723404307,446416.0,-11260365.0,0.19,31176.0,-10663.330000000002,20455.340000000026,-4327.340000000026,128963.67000000001,31795.017971640744,435885.0,3204204.0,-26147.17437557131,221409.23209656775,3522.1938371728675
3,-111727.83014388144,1761697.1405568067,0.0,-0.0934513540807017,-31319.852936573618,402.90999999999997,242.0417540451888,0.0,-1.1693215884424298e-08,7672.320149360121,0.0,0.0,0.3000000000000007,-0.2818648409877318,-3221.796604623153,8.343921577408352e-09,0.0,72.15792395452416,189.37288135593218,562264.8081901777,5.161161945109839e-13,0.0,0.0,0.0,7.688137331810669e-15,0.0,0.0,0.0,-6.881279970881478e-10,-3.9338440057755475e-12,0.0,0.0,-0.18999999999999995,0.0,0.0,-1.6150706593078446e-08,-6.498039664440185e-12,-489053.0,0.0,0.0,-1.8401073328813326e-11,0.0,0.0,-3.573042546750358e-10,8.343921577408352e-09,0.0,0.0,-7.515071753670225e-10,0.0,-0.2818648409877318,0.0,1.0088867640626477e-12,1.3986857199558192e-12,-5.438189649955198e-06,411545.0,289.98304339688997,42085.76385561883,0.0,42085.73666691687,0.0,0.5316020021589689,1.0770323538996926e-11,0.0,0.0,1.3938297872340435,-113732.57802031277,1.5680527562732028e-08,0.0,0.0,0.0,4.5077289492185716e-08,-1.3960978967870651e-11,3.1236552615723276e-10,-3222.362028359262,-111727.83014388144,1.2828975372512114e-06,451211.95038409566,-4004449.7679034323,4548.605116160379
4,-88418.19987808102,1784776.3099172749,0.0,-0.10118595273221967,-22320.81901441462,-2.2737367544323206e-13,215.2192989528655,0.0,5.863319971264555e-09,7672.320149359901,0.0,0.0,-1.3000000000000007,0.15158140342733617,-3221.796604623153,6.400868932897917e-09,0.0,72.15792395452416,189.37288135593218,20094.982781857252,-3.0481394874964537e-13,0.0,0.0,0.0,-3.706955459014105e-15,0.0,0.0,0.0,-3.522575653538716e-10,-5.072378065630598e-12,0.0,0.0,-0.040000000000000126,0.0,0.0,-1.927443262265693e-08,-1.3010633754520715e-13,0.0,0.0,0.0,-7.443857578472639e-12,0.0,0.0,-1.2993192171496095e-10,6.400868932897917e-09,0.0,0.0,-6.902180861417738e-09,0.0,0.15158140342733617,0.0,-1.6604083883458925e-13,5.774072508726325e-13,-2.8660685231583158e-06,0.0,289.98304339688997,45234.335501635855,0.0,45234.337542501744,0.0,2.6566583611933035e-06,4.388681329731722e-12,0.0,0.0,0.41382978723404307,-90245.31420015736,-3.790924608706616e-08,0.0,0.0,0.0,-5.256819996632132e-09,-9.806615197592632e-12,8.919045324706443e-10,-3222.362028359262,-88418.19987808102,4.6588929256978014e-07,42365.836219555815,66.62498588876679,3896.379820015087
5,-216467.28762092793,1774300.3195707705,341661.68,-0.10221852361006291,-22320.81901441462,-5.684341886080801e-13,229.64733054382052,-45435.0,1541025.0000000047,57595.32014936007,-1167.0,0.010000000000000002,1.6000000000000014,0.17103441205942094,31697.203395376848,169310.00000000314,2265.66,2337.817923954524,176.04288135593043,90200.21281722037,3516.9999999999986,0.0,141.66999999999985,0.0,-1.8099999999999983,4171.6600000000035,0.01,0.0,-73658.70000000071,72951.0,851179.0,-0.01,-0.05000000000000001,110416.0,0.0,-586685.0000000059,23411.000000000004,0.0,3810.3399999999965,1306.6699999999983,45073.669999999984,-206727.0,10303.339999999967,-214527.9999999999,169310.00000000314,0.0,0.01999999999999999,-586685.0000000085,-1942.0,0.17103441205942094,-23057.0,5.420000000000976,-6240.6600000000035,332.70552911807545,0.0,3347.6530433968155,45234.335501635855,-0.13999999999999999,45234.337542501744,-11383.340000000026,40218.83000000014,10166.000000000005,0.01999999999999999,-61127.0,0.41382978723404307,-243000.51540203838,14029560.999999963,0.29,-118298.73,21576.0,47832.32999996066,72951.0,-112492.32999999868,31736.85797164074,-216467.28762092793,-3741662.000000839,71948.36959116033,66.62498588920812,4177.061729094288
6,-38938.45062236569,477451.90677258046,0.0,-0.05370485140297958,-30401.149014414637,-491.8100000000005,233.13671646856943,0.0,1.0277572389134103e-08,7672.320149360205,0.0,0.0,-0.10000000000000142,0.7559312751819518,-3221.796604623153,-4.4513688918708145e-09,0.0,72.15792395452416,189.37288135593218,262935.383314188,7.81832481512461e-13,0.0,0.0,0.0,-4.200362309564178e-15,0.0,0.0,0.0,-4.612586999609639e-10,7.392750422560179e-11,0.0,0.0,-0.13000000000000003,0.0,0.0,1.8320648516362974e-08,1.1831073984124442e-11,306624.0,0.0,0.0,2.0360958850121764e-11,0.0,0.0,6.849908113891403e-10,-4.4513688918708145e-09,0.0,0.0,-3.226861233696449e-09,0.0,0.7559312751819518,0.0,6.455797837319763e-13,-8.632461950223676e-12,0.0019235202428945393,304843.0,289.98304339688997,606590.6755016358,0.0,606590.6775425018,1.5188381491950732e-13,0.20099083916465127,-4.673841067964934e-12,0.0,0.0,7.553829787234044,-37319.58299472349,-3.99896206786178e-08,0.0,0.0,0.0,9.138214671783091e-08,1.9743196556849342e-10,5.001080253782658e-11,-3222.362028359262,-38938.45062236569,-2.636485836914144e-06,251633.11346145452,-30.045014110791953,1301532.105921834
7,-33471.067991464646,1033750.6639204039,0.0,-0.09090273493192899,-24116.889765236585,-4.831690603168681e-13,226.66532049074533,0.0,-4.791290462370486e-09,7672.320149360061,0.0,0.0,-0.3999999999999986,0.2151223330298757,-3221.796604623153,-6.201472459413441e-09,0.0,72.15792395452416,189.37288135593218,111935.93883501657,1.1804595186996716e-12,0.0,0.0,0.0,1.61114361606168e-14,0.0,0.0,0.0,-3.9782819274356056e-10,1.0265643263932211e-10,0.0,0.0,0.1399999999999999,0.0,0.0,2.464035766551238e-08,1.45954091591878e-12,0.0,0.0,0.0,-5.348081632774699e-13,0.0,0.0,1.5990520236679394e-10,-6.201472459413441e-09,0.0,0.0,2.3561768450915647e-09,0.0,0.2151223330298757,0.0,-2.647865951773149e-13,-1.7878376970996847e-12,0.0012339101981036814,0.0,289.98304339688997,198144.14869834157,0.0,198144.13448392204,0.0,1.0042044653003738e-06,2.8072450967353413e-12,0.0,0.0,0.41382978723404307,-32218.41109720005,5.9090243301078e-08,0.0,0.0,0.0,-5.470867824493451e-08,1.6189285422399247e-10,-1.933138195249772e-09,-3222.362028359262,-33471.067991464646,-1.0230587656567097e-06,99535.62714611471,61.56159171789545,275259.66232682834
8,-89515.19417078816,795109.0542315233,415873.29999999993,-0.09399904446247703,-24116.889765236585,8.526512829121202e-14,224.16223014906546,136709.0,-442389.999999996,246153.32014936022,5367.0,0.0,-0.7000000000000011,0.23397269141474186,31708.203395376848,-75889.00000000838,-0.6599999999998545,71.49792395452431,1005.032881355932,134064.66642965202,8124.000000000002,0.0,-402.3299999999999,0.77,8.990000000000027,10538.0,-0.18000000000000002,-192.34000000000015,532996.7000000005,-366658.66,-849850.66,0.01,-0.0699999999999999,-8142012.0,-0.18000000000000002,285211.00000000675,-4026.000000000005,0.0,554.0,2166.6699999999983,-37777.339999999975,137870.0,-921201.34,122374.99999999993,-75889.00000000838,0.0,0.010000000000000009,285211.0000000018,-1099.3400000000001,0.23397269141474186,-1492.0,-2.0000000000017857,16646.660000000003,-453.41279454219625,0.0,-6135.6869566030355,198144.14869834145,0.1,198144.13448392204,36531.67000000004,23921.89999999955,18222.000000000007,0.010000000000000009,5403.0,0.41382978723404307,-20532.799841095704,-3140216.999999908,-0.5499999999999999,76197.73,-13928.34,-18980.670000178812,-366658.66,554129.3299999977,31731.557971640723,-89515.19417078816,1184311.000000986,113404.96367569233,61.56159171789545,276781.3980967959
9,-18445.918621838653,863794.0592048184,0.0,-0.10852718988023935,26236.110234763415,82.23000000000033,-5165.134694104265,0.0,3.874588130960432e-09,7672.320149359988,0.0,0.0,-0.5,-14.859883215076351,-3221.796604623153,-9.018505789423142e-11,0.0,72.15792395452416,189.37288135593218,242635.57163663476,-3.1009918614010247e-12,0.0,0.0,0.0,4.691604391088355e-14,0.0,0.0,0.0,-4.205727742177323e-09,-4.5317787836207444e-10,0.0,0.0,-0.060000000000000143,0.0,0.0,-5.800115250293394e-09,-3.9645922808864344e-12,-381796.0,0.0,0.0,-1.406796974720955e-11,0.0,0.0,-5.400879299024419e-10,-9.018505789423142e-11,0.0,0.0,-4.21248408271235e-10,0.0,-14.859883215076351,0.0,-7.884070451889448e-13,2.5423105882163053e-11,-0.002219419728266423,-15157.0,289.98304339688997,-723057.1713016585,0.0,-723057.2055160779,0.0,0.11954805121596539,-1.1666632689253223e-11,0.0,0.0,-6.196170212765956,-25846.037046719655,6.949509719212623e-09,0.0,0.0,0.0,-1.173539851954708e-07,-1.1377961563459427e-09,-2.959376609623126e-12,-3222.362028359262,-18445.918621838653,1.2824985573871338e-06,224407.36724940268,5480.561591717896,-533949.7042905551
